"CDMunicipio","NRUORG"
"2400802","034000000"
"2400901","034901000"
"2401008","034901000"
"2401107","034901000"
"2401206","034000000"
"2401305","034901000"
"2401404","034000000"
"2401453","034901000"
"2401503","034000000"
"2401602","034000000"
"2401651","034000000"
"2401701","034000000"
"2401800","034000000"
"2401859","034000000"
"2401909","034901000"
"2402006","034901000"
"2402105","034901000"
"2402204","034000000"
"2402303","034901000"
"2402402","034000000"
"2402501","034901000"
"2402600","034000000"
"2402709","034000000"
"2402808","034901000"
"2402907","034901000"
"2403004","034901000"
"2403103","034901000"
"2403202","034901000"
"2403251","034000000"
"2403301","034901000"
"2403400","034000000"
"2403509","034000000"
"2403608","034000000"
"2403707","034901000"
"2403756","034000000"
"2403806","034901000"
"2403905","034901000"
"2404002","034901000"
"2404101","034000000"
"2404200","034000000"
"2404309","034901000"
"2404408","034901000"
"2404507","034901000"
"2404606","034000000"
"2404705","034901000"
"2404804","034000000"
"2404853","034000000"
"2404903","034901000"
"2405009","034000000"
"2405108","034000000"
"2405207","034901000"
"2405306","034000000"
"2405405","034901000"
"2405504","034000000"
"2405603","034000000"
"2405702","034901000"
"2405801","034000000"
"2405900","034901000"
"2406007","034901000"
"2406106","034901000"
"2406155","034000000"
"2406205","034000000"
"2406304","034000000"
"2406403","034000000"
"2406502","034000000"
"2406601","034000000"
"2406700","034901000"
"2406809","034901000"
"2406908","034901000"
"2407005","034901000"
"2407104","034000000"
"2407203","034000000"
"2407252","034000000"
"2407302","034901000"
"2407401","034901000"
"2407500","034000000"
"2407609","034901000"
"2407708","034000000"
"2407807","034000000"
"2407906","034000000"
"2408003","034901000"
"2408102","034000000"
"2408201","034000000"
"2408300","034000000"
"2408409","034901000"
"2408508","034000000"
"2408607","034901000"
"2408706","034901000"
"2408805","034000000"
"2408904","034000000"
"2408953","034000000"
"2409100","034000000"
"2409209","034000000"
"2409308","034901000"
"2409332","034000000"
"2409407","034901000"
"2409506","034000000"
"2409605","034000000"
"2409704","034000000"
"2409803","034000000"
"2409902","034000000"
"2410009","034901000"
"2410108","034000000"
"2410207","034901000"
"2410256","034000000"
"2410306","034000000"
"2410405","034000000"
"2410504","034901000"
"2410603","034901000"
"2410702","034901000"
"2410801","034901000"
"2410900","034000000"
"2411007","034901000"
"2411056","034000000"
"2411106","034000000"
"2411205","034000000"
"2411403","034901000"
"2411429","034901000"
"2411502","034000000"
"2411601","034000000"
"2411700","034000000"
"2411809","034901000"
"2411908","034901000"
"2412005","034000000"
"2412104","034000000"
"2412203","034000000"
"2412302","034000000"
"2412401","034901000"
"2412500","034901000"
"2412559","034000000"
"2412609","034000000"
"2412708","034000000"
"2412807","034901000"
"2412906","034000000"
"2413003","034901000"
"2413102","034000000"
"2413201","034000000"
"2413300","034000000"
"2413359","034901000"
"2413409","034000000"
"2413508","034000000"
"2413557","034000000"
"2413607","034901000"
"2413706","034000000"
"2413805","034901000"
"2413904","034000000"
"2414001","034000000"
"2414100","034901000"
"2414159","034000000"
"2414209","034000000"
"2414308","034000000"
"2414407","034000000"
"2414456","034000000"
"2414506","034901000"
"2414605","034901000"
"2414704","034000000"
"2414753","034000000"
"2414803","034000000"
"2414902","034901000"
"2415008","034000000"
"2500000",""
"2500106","032000000"
"2500205","032000000"
"2500304","032000000"
"2500403","032901000"
"2500502","032000000"
"2500536","032901000"
"2500577","032901000"
"2500601","032000000"
"2500700","032000000"
"2500734","032901000"
"2500775","032000000"
"2500809","032000000"
"2500908","032901000"
"2501005","032901000"
"2501104","032000000"
"2501153","032000000"
"2501203","032901000"
"2501302","032901000"
"2501351","032901000"
"2501401","032000000"
"2501500","032000000"
"2501534","032901000"
"2501575","032901000"
"2501609","032901000"
"2501708","032901000"
"2501807","032000000"
"2501906","032000000"
"2502003","032000000"
"2502052","032000000"
"2502102","032000000"
"2502151","032901000"
"2502201","032000000"
"2502300","032000000"
"2502409","032000000"
"2502508","032901000"
"2502607","032000000"
"2502706","032901000"
"2502805","032000000"
"2502904","032000000"
"2503001","032000000"
"2503100","032901000"
"2503209","032000000"
"2503308","032000000"
"2503407","032000000"
"2503506","032901000"
"2503555","032901000"
"2503605","032000000"
"2503704","032000000"
"2503753","032000000"
"2503803","032000000"
"2503902","032901000"
"2504009","032901000"
"2504033","032000000"
"2504074","032901000"
"2504108","032000000"
"2504157","032000000"
"2504207","032000000"
"2504306","032000000"
"2504355","032901000"
"2504405","032000000"
"2504504","032000000"
"2504603","032000000"
"2504702","032901000"
"2504801","032000000"
"2504850","032901000"
"2504900","032000000"
"2505006","032901000"
"2505105","032901000"
"2505204","032000000"
"2505238","032000000"
"2505279","032000000"
"2505303","032000000"
"2505352","032901000"
"2505402","032901000"
"2505501","032000000"
"2505600","032000000"
"2505709","032901000"
"2505808","032000000"
"2505907","032000000"
"2506004","032901000"
"2506103","032901000"
"2506202","032901000"
"2506251","032901000"
"2506301","032000000"
"2506400","032000000"
"2506509","032901000"
"2506608","032000000"
"2506707","032000000"
"2506806","032901000"
"2506905","032000000"
"2507002","032000000"
"2507101","032000000"
"2507200","032901000"
"2507309","032000000"
"2507408","032000000"
"2507507","032000000"
"2507606","032000000"
"2507705","032901000"
"2507804","032901000"
"2507903","032000000"
"2508000","032000000"
"2508109","032000000"
"2508208","032000000"
"2508307","032901000"
"2508406","032000000"
"2508505","032901000"
"2508554","032000000"
"2508604","032000000"
"2508703","032000000"
"2508802","032000000"
"2508901","032000000"
"2509008","032000000"
"2509057","032000000"
"2509107","032000000"
"2509156","032000000"
"2509206","032901000"
"2509305","032000000"
"2509339","032901000"
"2509370","032000000"
"2509396","032000000"
"2509404","032000000"
"2509503","032901000"
"2509602","032000000"
"2509701","032901000"
"2509800","032000000"
"2509909","032901000"
"2510006","032000000"
"2510105","032901000"
"2510204","032000000"
"2510303","032901000"
"2510402","032000000"
"2510501","032901000"
"2510600","032901000"
"2510659","032901000"
"2510709","032901000"
"2510808","032000000"
"2510907","032000000"
"2511004","032000000"
"2511103","032901000"
"2511202","032000000"
